,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
127,-0.7781937168921504,3.5,1.5,4.5,1.5,3.0,1.0,1.5,1.5,1.5,3.0,1.5,1.5,0.0,0.0,1.5,4.5
128,-0.7781937168921504,3.5,3.0,4.5,4.5,4.5,2.0,1.5,1.5,1.5,3.0,3.0,1.5,1.5,1.5,1.5,1.5
129,0.4850026896104595,3.5,1.5,4.5,1.5,3.0,1.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,0.0,4.5,0.0
130,-0.7781937168921504,3.5,3.0,4.5,1.5,3.0,1.0,1.5,1.5,1.5,3.0,1.5,0.0,1.5,0.0,1.5,0.0
131,-0.7781937168921504,3.5,3.0,4.5,1.5,1.5,2.0,1.5,3.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5
132,-0.7781937168921504,3.5,1.5,4.5,4.5,1.5,2.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,4.5,1.5,0.0
133,0.4850026896104595,3.5,3.0,4.5,3.0,1.5,1.0,3.0,1.5,1.5,3.0,1.5,4.5,4.5,0.0,0.0,4.5
134,-0.7781937168921504,3.5,3.0,4.5,3.0,4.5,1.0,3.0,3.0,1.5,3.0,1.5,1.5,1.5,4.5,1.5,4.5
135,1.7481990961130693,1.5,4.5,4.5,3.0,4.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,1.5
136,0.4850026896104595,3.5,3.0,4.5,4.5,4.5,1.0,1.5,3.0,1.5,1.5,3.0,0.0,0.0,4.5,1.5,0.0
137,-0.7781937168921504,3.5,3.0,4.5,3.0,3.0,1.0,1.5,3.0,1.5,3.0,1.5,4.5,1.5,0.0,1.5,4.5
138,-0.7781937168921504,3.5,3.0,4.5,3.0,4.5,2.0,1.5,3.0,1.5,1.5,1.5,1.5,0.0,0.0,1.5,0.0
